연번,사업명,위치,사업개요,사업기간(시작연월일),사업기간(종료연월일),총사업비(백만원),담당자전화번호,데이터기준일자,담당자
17,유네스코 세계지질공원 동아시아 플랫폼 건립,광주광역시 북구 충효동 877번지 일원(광주 생태문화마을 內),"부지 6,800㎡, 연면적 7,980㎡ (지하1층~지상2층/1동)",2021-01-01,2025-12-31,32700,062-613-6718,2024-10-15,권다래
18,광주소방안전본부 및 서부소방서 합동청사 건립사업,광주광역시 서구 화정동 324-2번지 일원(舊 경찰기동대 부지),"부지 8,967㎡, 연면적 11,920㎡(지하1층~지상6층/1동)",2020-01-01,2028-12-31,65513,062-613-6718,2024-10-15,권다래
19,광산소방서 청사 증축사업,광주광역시 광산구 하남산잔1번로 13(광산소방서 후정 별관동),"연면적 341.13㎡(지상3층, 1동)",2023-06-01,2024-11-30,1214,062-613-6718,2024-10-15,권다래
20,창업기업성장지원센터 건립사업,광주광역시 북구 일곡동 758번지(본촌산단 내 舊 로케트전기부지),"부지 6,350㎡, 연면적 14,416.92㎡",2023-06-01,2024-11-30,45000,062-613-6724,2024-10-15,정정욱
21,농식품가공 창업보육센터 건립사업,광주광역시 광산구 평등로 800번길 52,"연면적 911.5㎡(지상3층, 1동)",2023-12-01,2024-12-31,4360,062-613-6724,2024-10-15,정정욱
22,광주시민의 숲 야영장 시설개선 건축공사,광주광역시 북구 추암로 190일원(시민의숲 야영장 내),안내소 연면적 150㎡(지상1층/1동) 등,2024-06-01,2024-12-31,1000,062-613-6724,2024-10-15,정정욱
23,광역동물보호센터 건립,광주광역시 북구 본촌동 379-2,"부지 3,307㎡, 연면적 999.8㎡(지하1층~지상2층)",2022-03-21,2024-12-31,4549,062-613-6733,2024-10-15,문형호
24,원효사상가 이주단지 힐링촌(숙박) 건립사업,광주광역시 북구 충효동 756번지 일원(광주 생태문화마을 內),연면적895㎡(10동),2022-08-04,2025-12-31,6735,062-613-6733,2024-10-15,문형호
25,장록습지 탄소흡수원 조성사업,광주광역시 광산구 서봉동 82-9번지 등 29필지(황룡강대상근린공원 內),"부지 11,051㎡, 연면적 2,317,54㎡(지상4층, 1동)",2023-01-01,2026-12-31,19500,062-613-6733,2024-10-15,문형호
26,첨단시내버스 공영차고지 조성사업,광주광역시 광산구 비아동 4-1번지 일원,"부지 11,051㎡, 연면적 2,317,54㎡(지상4층, 1동)",2021-01-01,2025-12-31,29673,062-613-6722,2024-10-15,이도윤
